individual	left	right	length	bin
EUR_14	7701860	7713360	11500	2
EUR_14	10306597	10459002	152405	20
EUR_14	10506272	10515574	9302	2
EUR_14	11244643	11303271	58628	8
EUR_14	17795981	17965967	169986	22
EUR_14	19529137	19572494	43357	6
EUR_14	23598533	23621741	23208	3
EUR_14	25045274	25053135	7861	1
EUR_14	31397377	31420442	23065	3
EUR_14	31618281	31684536	66255	9
EUR_14	33387820	33398262	10442	2
EUR_14	36025195	36101741	76546	10
EUR_14	40538208	40541166	2958	1
EUR_14	41170307	41185884	15577	2
EUR_14	41231126	41293961	62835	8
EUR_14	46363306	46426354	63048	8
EUR_15	2035623	2183723	148100	19
EUR_15	2689398	2850589	161191	21
EUR_15	5430664	5442656	11992	2
EUR_15	10454414	10496133	41719	6
EUR_15	11121107	11122255	1148	1
EUR_15	11225139	11282514	57375	8
EUR_15	11648276	11667319	19043	3
EUR_15	12485443	12493640	8197	2
EUR_15	14716633	14723200	6567	1
EUR_15	15349260	15371253	21993	3
EUR_15	17795981	17850131	54150	7
EUR_15	23598533	23685874	87341	12
EUR_15	25036175	25059948	23773	3
EUR_15	25348769	25395086	46317	6
EUR_15	31397377	31420442	23065	3
EUR_15	31618281	31684536	66255	9
EUR_15	36526788	36562850	36062	5
EUR_15	40524070	40536346	12276	2
EUR_15	40639759	40701244	61485	8
EUR_15	41910381	41918830	8449	2
EUR_15	41956063	42003534	47471	6
EUR_15	45278228	45291241	13013	2
EUR_15	47306832	47334656	27824	4
EUR_15	1940661	2038598	97937	13
EUR_15	2955498	3021356	65858	9
EUR_15	3040653	3231239	190586	25
EUR_15	4310596	4327436	16840	3
EUR_15	4774414	4837910	63496	9
EUR_15	7799180	7884755	85575	11
EUR_15	10474021	10500263	26242	4
EUR_15	10579081	10600945	21864	3
EUR_15	11121107	11122255	1148	1
EUR_15	11225139	11282514	57375	8
EUR_15	11680528	11695629	15101	2
EUR_15	13764087	13880624	116537	15
EUR_15	17795981	17983358	187377	24
EUR_15	25045274	25096390	51116	7
EUR_15	25156063	25200643	44580	6
EUR_15	25560187	25588077	27890	4
EUR_15	29174539	29208331	33792	5
EUR_15	29283502	29342089	58587	8
EUR_15	31483207	31553001	69794	9
EUR_15	31779686	31782178	2492	1
EUR_15	31871395	31914145	42750	6
EUR_15	32023457	32046391	22934	3
EUR_15	33316144	33385032	68888	9
EUR_15	36308308	36370813	62505	8
EUR_15	36498078	36506563	8485	2
EUR_15	41170307	41185884	15577	2
EUR_16	1166368	1310286	143918	19
EUR_16	1662412	1830906	168494	22
EUR_16	1930497	2038598	108101	14
EUR_16	2105113	2106323	1210	1
EUR_16	2586193	2591704	5511	1
EUR_16	3125519	3126421	902	1
EUR_16	10306597	10347695	41098	6
EUR_16	10410256	10434431	24175	4
EUR_16	11615741	11705104	89363	12
EUR_16	15367716	15371253	3537	1
EUR_16	17802358	17983358	181000	23
EUR_16	29160901	29230171	69270	9
EUR_16	30527970	30531255	3285	1
EUR_16	31156524	31197280	40756	6
EUR_16	31400738	31499618	98880	13
EUR_16	32404436	32417734	13298	2
EUR_16	35872885	36062214	189329	24
EUR_16	36101549	36405919	304370	39
EUR_16	36498078	36506563	8485	2
EUR_16	40538208	40541166	2958	1
EUR_16	47939354	47988402	49048	7
EUR_16	48303107	48400149	97042	13
EUR_16	2072165	2106323	34158	5
EUR_16	2106396	2171835	65439	9
EUR_16	2267871	2305247	37376	5
EUR_16	2586193	2591704	5511	1
EUR_16	6648459	6677645	29186	4
EUR_16	7744520	7826660	82140	11
EUR_16	10920126	10920372	246	1
EUR_16	11588046	11705104	117058	15
EUR_16	13126809	13266111	139302	18
EUR_16	15159254	15371253	211999	27
EUR_16	19332471	19333614	1143	1
EUR_16	19634530	19653747	19217	3
EUR_16	25036175	25059948	23773	3
EUR_16	25348769	25395086	46317	6
EUR_16	31379113	31417248	38135	5
EUR_16	31969301	31982644	13343	2
EUR_16	32404436	32417734	13298	2
EUR_16	35997174	36045432	48258	7
EUR_16	36252432	36543391	290959	37
EUR_16	40524070	40536346	12276	2
EUR_16	40639759	40701244	61485	8
EUR_16	41171361	41199187	27826	4
EUR_16	47306832	47323219	16387	3
EUR_16	48464351	48468106	3755	1
EUR_17	864720	879695	14975	2
EUR_17	1662412	1896093	233681	30
EUR_17	1960680	2062085	101405	13
EUR_17	6602745	6693324	90579	12
EUR_17	10875976	10880965	4989	1
EUR_17	11219386	11232841	13455	2
EUR_17	11630302	11705104	74802	10
EUR_17	14342828	14370739	27911	4
EUR_17	17795981	17983358	187377	24
EUR_17	19529137	19564534	35397	5
EUR_17	25047367	25093868	46501	6
EUR_17	25324980	25442386	117406	15
EUR_17	31259615	31289686	30071	4
EUR_17	31969301	32016212	46911	6
